N1 N2 N10 N100
0.0217317 1.00171 0.713979 0.852103
0.0497837 0.580667 1.59049 1.10626
0.0176707 0.102902 1.06533 0.920057
1.30256 1.02019 0.990322 1.12836
0.0218274 0.650586 0.958555 0.930587
1.17378 0.266714 0.962452 0.92699
1.59808 2.15247 0.388121 0.954897
0.567507 0.685378 1.11341 1.237
0.225765 0.624645 0.978992 1.07436
0.0897406 0.635148 1.14956 0.972539
0.56281 0.243067 0.550828 0.990313
0.655102 0.784994 0.610855 0.884521
0.690871 0.579527 1.74127 0.935098
0.977051 0.0875135 0.895758 1.00095
0.300099 0.438467 1.26234 1.05537
0.477357 0.720241 1.02626 0.969628
0.857377 1.34178 0.918586 1.00127
0.722244 1.53214 0.539876 0.909346
1.98248 1.32803 0.994355 1.07196
0.398809 0.93029 0.852278 1.13742
0.228095 1.77539 0.879313 0.993846
0.465691 0.952944 0.740853 1.02406
0.0175071 1.38553 0.817394 1.04053
0.908907 0.747719 0.891631 1.09218
0.611626 1.738 1.12807 1.14162
0.90151 0.428852 0.463168 0.884591
3.20769 1.20672 1.35819 1.06343
0.0284599 1.09794 1.40492 0.919898
0.599685 0.931554 0.675077 0.996328
0.723126 0.372457 3.13406 1.01014
1.26086 1.28296 0.677323 0.916687
1.82372 1.38789 0.485929 0.85023
0.501693 0.346752 1.08207 1.07477
0.115226 0.739148 0.770898 0.971344
3.10058 1.0939 0.804653 0.834194
1.68196 0.0871901 0.758983 0.892884
3.35695 0.151508 1.00499 0.959867
4.33531 0.495223 0.901613 0.953
0.0358296 1.14331 1.36202 0.749257
1.99814 0.956304 1.30265 0.936677
0.0937089 0.37889 0.935955 1.03567
0.614793 1.46309 0.758757 1.11352
0.921923 0.529449 0.702026 1.01371
1.00615 1.06278 0.609406 1.04925
0.441173 2.49382 0.55919 1.22046
1.27537 0.98418 0.650189 0.777077
4.22881 0.65165 0.819731 1.09826
0.106699 0.3679 1.02896 0.852788
0.855469 2.60193 1.92188 1.07365
2.39354 1.09501 1.02081 1.06664
0.986306 1.64063 0.668926 0.867278
0.989515 0.429354 0.962307 1.14237
0.0318696 0.581939 0.895504 1.0623
0.584823 1.19276 1.64365 1.23002
0.915745 0.905786 1.42605 0.844813
0.22421 0.714575 0.764749 0.961357
0.518745 0.338706 1.33849 0.955761
0.131456 1.72699 1.04471 0.877486
0.97357 0.74184 1.37584 1.08248
0.174654 0.46402 0.911901 1.01175
0.0260671 0.405818 0.738576 1.16263
1.68296 0.293637 1.11818 0.923318
1.12631 0.0563515 0.868568 1.01787
2.47135 0.688953 1.67778 1.01487
0.370056 1.44599 1.83033 0.838213
2.62622 0.23307 1.19453 0.962305
2.46055 0.472228 0.793786 1.06973
0.30809 1.39241 1.38959 0.945321
0.168046 1.82861 1.1278 0.958066
0.754063 1.15483 0.953526 1.03863
1.71781 1.13322 0.741901 1.00188
0.175304 0.822868 1.03081 1.04493
0.470568 0.280664 1.05088 1.05733
1.59847 0.781282 0.810154 1.01268
3.41279 1.05305 1.05029 1.07672
0.247117 3.1458 0.903619 1.14098
1.17278 1.83832 0.924538 1.04793
0.285937 0.556861 0.619238 0.895649
0.0431001 0.13831 1.03552 1.15939
2.36806 0.0790881 1.08032 1.10958
0.452456 0.361231 0.581184 1.08423
0.0145741 1.06625 1.48944 0.866363
0.440187 0.516087 1.2622 1.07694
0.136157 2.31647 0.998244 1.06655
0.833358 1.69002 0.569154 0.818602
0.349693 0.927172 1.23621 1.09251
0.863362 1.31502 1.29657 1.09746
0.951312 3.27085 0.576394 1.0251
0.315608 0.378927 0.677005 1.14011
0.98987 0.265717 0.5882 0.875384
0.321487 0.599991 0.648632 1.01273
2.38356 0.90161 1.32182 0.987719
1.60145 0.400157 1.92951 0.873658
2.73174 0.272438 1.32134 1.138
0.760648 0.826408 1.85837 1.06649
0.406043 0.317181 1.11336 1.01116
1.07803 2.05528 0.732939 1.08669
0.537968 0.531067 0.735006 0.940985
1.9905 0.532238 1.01872 1.07646
1.84402 0.27207 0.567031 0.910673
0.679257 0.558519 0.934866 0.830238
1.34042 0.287041 1.68597 1.04005
0.236143 0.962916 0.499015 0.970773
0.327622 0.0776769 0.982239 1.0358
1.10527 0.541492 1.00157 1.07085
1.92345 0.518759 1.07544 0.984955
0.601636 1.04015 1.3205 1.22928
4.07514 0.300544 0.490391 1.04304
0.4119 1.15068 1.10095 1.14021
0.027966 1.01446 1.20996 1.02012
1.58829 0.199356 1.28471 0.986254
1.24183 0.518581 0.671144 1.06752
2.1591 0.354973 0.611384 0.97899
1.58389 0.82016 0.883195 0.875844
0.0344595 0.330278 0.920381 1.00043
0.142368 0.531136 0.657036 1.15544
0.0623598 2.87643 0.733861 1.01116
1.31275 1.404 1.13627 0.895444
0.239522 1.92959 1.04856 0.878834
0.353231 0.317754 0.793891 0.901755
0.75005 1.06426 1.15446 0.926957
0.0036116 0.417358 1.02943 1.09342
2.75486 0.731852 0.981055 1.11265
1.77124 0.858324 0.990539 0.98271
1.391 1.17516 1.25514 0.948201
0.0905915 1.89345 1.38488 1.03078
1.01734 1.51221 0.910169 0.948096
1.42553 0.432744 1.00025 0.907645
0.836734 1.94501 0.790108 0.9518
4.52919 0.267021 1.15442 1.01112
1.4716 0.426613 0.992809 0.982201
1.90597 0.483884 0.60888 1.08837
0.441235 0.464206 1.26709 1.18974
0.876561 0.739198 1.01445 0.82532
0.226523 0.698741 2.13397 1.15142
0.823105 0.725549 1.07534 0.766797
0.679545 0.589498 0.871938 1.13752
1.10537 0.291801 1.06418 1.14062
0.308272 1.71501 0.880666 0.986251
0.0824613 1.29653 0.838368 0.98758
5.1226 2.28798 0.908295 1.01025
0.323121 0.444829 1.21181 1.0953
2.61345 1.68721 0.756301 0.819136
1.12218 0.296295 1.25157 0.90167
0.777043 1.94939 1.38361 0.906794
0.366348 1.245 0.970198 1.07252
0.859319 1.49245 1.23915 0.900281
0.310573 1.25553 1.65004 0.999797
4.85226 1.34664 1.51188 0.971011
0.186342 0.404078 0.933941 0.951767
2.11051 2.15136 0.716211 0.954431
0.0355916 0.338116 1.12599 1.11312
0.136434 0.235917 1.25423 1.11622
2.20452 0.449625 1.19298 1.03863
0.0672445 0.251304 0.964874 0.948966
0.2509 2.28321 0.507636 0.9944
1.54989 1.69343 0.737745 1.10372
1.45215 0.174187 0.745314 0.860305
2.53651 0.497191 0.824136 0.997144
0.199809 1.04825 0.838731 0.865042
0.259629 0.24326 0.667776 0.958308
1.01706 1.50513 0.978636 1.03451
0.500526 0.671246 0.915312 1.00678
0.246868 1.09597 0.765023 0.987409
2.83089 0.79378 0.887284 0.8884
0.0207224 0.732007 0.817509 1.05828
0.261288 2.29771 0.662433 0.889424
1.57886 0.83769 1.2034 0.983145
0.26721 1.46609 1.22444 1.11997
1.18425 0.463291 0.88256 0.961561
0.0815167 2.45753 0.738473 0.943253
0.0768459 0.941873 1.118 1.03793
0.987059 1.19165 1.01461 1.12044
7.43203 1.42251 1.59621 1.05471
0.0388938 1.23672 0.778326 0.825341
0.44181 0.876615 0.542207 1.03022
1.14647 1.66357 0.666466 1.07366
0.202405 0.942764 0.964906 0.935315
0.429125 0.918083 0.910309 0.921889
0.262052 0.804572 1.36288 0.976516
3.75158 0.116454 0.678278 1.04765
0.364152 2.11543 0.788997 0.883981
1.2938 0.774755 0.818717 0.985104
5.84055 1.71506 0.902355 0.910411
3.28078 1.24509 1.45301 1.02413
1.77421 1.26838 0.698009 1.07393
0.426739 1.61938 0.474107 0.839482
0.582981 0.071299 1.5234 0.874022
0.905049 2.28173 0.954732 1.00736
4.77505 0.336676 1.66938 1.04894
0.765174 0.320268 1.37931 1.06239
1.19034 0.426075 0.814196 1.10934
1.57425 0.26265 0.418608 0.997145
0.0760928 0.130399 1.69985 1.06743
0.325276 0.816198 0.994144 0.976198
0.211244 1.29908 1.40078 1.08987
0.698191 0.507063 0.906571 0.848275
0.12128 0.388338 1.35101 1.00086
1.33589 0.295784 0.809553 0.991521
0.766296 1.52913 0.831329 1.04865
2.00242 2.03103 1.57293 1.03169
0.263291 0.472232 0.69571 0.959178
0.18681 0.53637 0.99708 1.10957
1.83832 0.80821 1.86928 0.95446
0.772319 0.822946 0.803231 1.03712
0.388224 1.13604 1.15688 0.962964
0.104347 0.517465 0.80571 0.812398
0.493628 0.907807 0.586976 0.91194
0.966282 1.03406 0.604192 1.08052
1.15818 0.456664 0.854243 0.859556
0.49829 1.32425 0.877617 0.958274
1.19235 0.320619 1.81741 1.02548
0.0908908 1.31265 0.517181 0.894835
3.05541 0.117607 0.734047 0.835734
2.59825 1.18027 0.896091 1.03561
0.842074 0.574461 0.558704 1.00858
0.913762 1.4011 0.710884 0.887184
0.285929 1.08287 1.56086 1.09694
2.94481 0.310685 1.03079 1.01645
0.965694 1.82642 1.346 0.931125
1.06789 1.35873 1.03831 1.11334
4.18415 0.619463 0.726081 0.85711
1.89016 1.77517 1.021 1.18718
0.367604 0.427905 0.960898 0.974328
0.292208 2.56477 1.01618 0.902255
2.73383 2.82099 1.28336 1.08809
3.24604 1.06791 0.805609 0.989417
1.10887 1.60868 0.913335 0.76391
0.69507 1.36803 1.04198 0.85104
2.00356 1.47309 0.560912 0.827836
1.87295 1.30487 1.34022 1.03955
1.17497 0.070805 0.821014 0.906311
0.577308 1.02017 1.09832 1.08915
0.218315 1.79682 0.980019 1.02344
0.762608 1.14025 0.72943 1.09102
0.409519 0.417354 1.31752 1.05742
0.0723012 1.07535 1.03815 0.918006
1.44684 0.266302 0.75593 0.988146
1.28895 0.598748 0.778006 1.12279
1.04048 0.766869 0.715555 1.02664
0.164492 1.35082 0.937837 1.0764
0.397427 0.616122 1.14845 1.08811
0.452655 1.69619 1.19828 0.930908
0.413044 1.47601 1.24295 1.08813
0.843988 3.09686 0.858722 0.972919
0.103859 0.830838 0.674575 1.01726
0.701638 1.6024 0.823628 0.964619
2.71509 0.184296 1.34232 0.912831
0.337445 0.331288 1.71417 0.926163
0.27919 0.510364 1.05474 0.925958
0.244649 0.250367 1.15671 1.02986
1.37915 1.27901 1.09211 0.932333
0.520029 0.635654 0.927857 0.95162
0.349796 1.65175 0.647201 1.03218
1.46523 0.170657 1.10123 1.12393
1.30932 2.46839 1.16224 0.989168
0.462682 0.313864 0.901856 1.00716
0.0822243 0.259148 0.878857 0.949329
0.50594 0.230778 0.657057 1.01465
0.208175 0.306606 1.3627 0.900781
1.01952 0.660299 0.715864 1.00524
1.296 0.839555 0.968069 1.02479
0.113806 0.947698 0.81253 1.19904
0.435379 1.02048 1.02319 0.970859
0.447086 1.66079 1.17427 0.976662
0.219711 0.835483 0.878813 1.09681
2.78258 0.434843 1.70117 1.06011
0.296279 0.589596 0.964812 1.01408
3.417 1.17999 1.34753 0.99493
0.635973 1.49399 0.369548 1.04654
0.343317 0.736064 1.0956 1.06167
2.67134 0.202172 1.04589 1.03979
0.982791 0.268008 1.22864 0.923506
0.0693501 1.39778 0.664275 0.895829
0.206019 0.328338 0.687845 0.991388
4.65419 1.61238 0.779366 1.04659
3.22167 1.49681 1.98162 0.913777
0.148864 0.464443 0.768231 0.942677
1.42785 0.817992 0.724637 0.834967
0.530988 0.477841 0.803038 1.06968
0.270953 0.818435 0.541243 0.929948
0.232092 1.54589 0.802972 1.15658
2.0206 2.10624 0.8459 0.987465
0.175785 0.946225 1.13472 0.932272
0.775805 0.693316 1.09716 1.07178
0.465007 1.37138 1.81441 1.00561
0.503528 1.20124 1.00714 1.0212
0.221391 0.688081 0.758618 1.15523
0.950339 0.55623 0.839875 0.91961
2.62956 1.93671 1.11613 0.845117
0.874957 0.498536 1.2205 1.03517
0.69843 1.04142 0.924711 1.16981
1.61792 1.54993 1.35043 1.02766
1.70092 0.700501 1.38702 0.985583
0.407454 0.572807 1.26249 0.936414
2.23387 1.83325 1.50301 0.875527
0.562419 0.210679 1.37554 0.928901
2.82575 0.888045 0.802858 1.09681
3.2124 0.711152 1.61561 1.0116
0.871303 1.54073 1.33857 0.901425
0.483241 0.573844 0.820807 1.13589
0.464038 1.01343 0.620801 0.878599
2.18032 0.720716 0.635882 0.965864
0.177345 0.231138 0.893531 1.1981
0.725671 0.452532 0.798023 0.898869
0.0714405 0.72418 1.16387 0.954919
0.523099 1.07958 0.520873 1.07516
2.83474 0.642035 0.545538 1.03827
0.895348 1.27951 1.05103 1.00401
0.377371 2.00276 0.52739 1.02436
0.313159 0.469089 0.785258 0.971554
0.82588 1.80092 0.814659 0.936574
0.201722 0.562201 1.2109 1.00705
0.303189 1.11548 0.554878 1.10235
0.91945 0.858919 1.07839 1.06181
0.490263 0.399854 0.510907 1.06043
0.639383 0.664875 1.12232 1.04952
0.867144 0.829667 0.908257 0.961793
0.0196861 0.719617 0.957191 1.11103
0.343117 2.0434 1.22708 0.981498
0.136929 0.529864 1.03836 0.914264
2.26379 2.35488 1.34174 0.971703
0.514797 0.703782 0.738716 1.14319
1.80683 1.44134 1.06144 0.97335
2.21684 1.38399 1.19257 0.923161
1.79316 0.540363 0.927886 0.888026
0.750281 0.207576 0.674604 1.12893
0.380736 1.38533 1.00029 1.0551
1.0716 0.567982 0.918675 0.961166
3.02731 1.83314 0.90865 1.11108
3.41204 0.160383 1.37794 0.978427
6.02907 1.13632 1.05578 0.862135
0.763434 3.43478 0.928561 1.07913
0.359765 1.46097 1.82528 1.201
0.109537 0.987586 0.546371 0.916382
0.0822914 0.645094 0.819753 0.925655
0.749896 0.499622 0.733225 1.06193
0.0424838 0.452958 0.76475 0.916038
0.320034 0.796605 1.41761 1.0428
0.445287 2.05134 1.10445 0.841989
0.712964 0.860098 1.15818 0.783941
0.426813 1.0774 0.564889 0.993342
0.640358 0.531997 1.35452 1.07176
0.037621 0.596721 0.721498 0.911037
0.222559 0.575708 0.682657 0.823884
0.727869 2.0986 1.10726 1.3272
0.230544 0.335722 1.33974 0.888244
0.500262 1.53079 0.723647 1.04662
2.79322 0.559479 0.913758 1.17841
1.08386 0.727339 1.18076 0.890012
0.600851 2.07917 1.5523 1.02843
1.3924 0.647418 0.915888 0.90877
1.29492 1.17855 0.886024 1.01875
2.1434 1.43705 0.687395 1.00138
1.1264 1.46742 1.04701 0.990366
1.34596 0.374338 0.808549 1.01766
0.829338 3.16065 1.23139 1.13341
1.04848 0.444766 0.990817 0.837817
2.13373 0.59166 0.754422 1.16401
2.07312 0.41132 1.75577 1.02638
1.91676 1.17379 1.94194 1.08922
0.958506 0.715483 1.08809 0.954722
0.0728416 0.439521 0.874915 1.03139
0.228072 1.39302 0.871705 1.12066
0.00235711 0.907379 1.78009 0.896512
0.063668 0.501707 0.762149 1.02253
1.06431 0.589413 0.898614 0.975671
0.58103 1.77594 0.753108 0.903643
0.252684 0.942506 1.16219 0.970217
0.149404 0.524991 1.13145 0.888442
0.719061 0.414165 1.36128 0.871483
1.91378 1.05504 1.12359 1.09987
1.5195 0.119069 1.01643 1.05744
0.305775 1.64744 0.698942 0.798236
1.95377 1.58225 0.810938 0.883566
0.220163 0.403357 0.896583 0.987119
1.6756 0.484391 1.04574 0.971691
0.162267 2.66393 1.04189 1.00443
0.113775 0.390566 0.921405 0.949237
0.231189 0.822786 0.832606 0.878812
1.37985 0.29226 1.05764 1.07511
1.03483 0.781837 0.534979 0.998451
1.1709 0.334792 1.16193 1.04803
0.403492 1.22563 0.832367 0.847261
2.29854 1.03964 0.68238 0.963371
1.81283 0.430785 1.3092 1.05775
0.553947 0.356715 0.854371 0.97742
0.909633 0.524231 1.22641 0.963417
1.98971 0.844767 0.904843 1.09349
0.966858 2.31503 1.02396 0.934418
2.11701 0.656183 0.531612 0.890543
2.63432 0.578802 1.72361 1.0084
4.61991 0.142205 1.4225 0.934781
0.792894 2.19946 0.818127 1.00962
0.0314414 2.15639 1.34402 0.908145
0.109112 0.404753 0.812176 0.837734
1.17273 1.27363 0.599694 1.15053
0.537703 0.303051 1.24846 1.08589
1.82341 1.1484 1.14023 1.0449
1.36727 0.891342 0.749079 1.08588
0.191066 0.928118 1.10291 1.05256
0.570602 0.858959 1.55512 0.954494
1.74366 1.33852 1.11134 1.03087
0.173339 1.98405 1.08338 0.947161
0.223803 2.56513 1.15065 1.09647
0.537575 0.69065 0.397933 0.97774
1.26049 1.79705 0.534215 0.825732
0.666775 0.354304 0.890105 1.09012
0.462164 1.36884 1.05295 0.964537
0.356569 1.68397 0.383052 1.01026
0.488272 1.1709 1.45683 0.937873
2.51926 1.01666 1.23844 0.989272
1.15977 0.498532 1.83291 0.882547
0.214599 1.50376 1.38262 0.911448
2.54174 0.915976 0.893202 0.89965
0.99264 0.606886 0.774076 0.885607
1.9473 1.18241 1.75007 0.903653
0.496107 0.448054 1.90102 1.18701
0.427533 0.897944 0.682081 1.07204
1.40932 0.549966 0.83498 0.954092
1.39887 0.967128 0.906911 1.01861
0.850664 0.179192 0.894388 1.03673
0.642542 1.86808 1.1941 1.0378
0.0837365 2.6507 0.938698 1.01625
0.4205 2.44699 0.918063 1.03639
0.307223 1.61553 1.06541 1.14092
0.142103 0.975233 0.891288 1.01929
2.07518 0.790816 1.13234 1.09158
0.544454 2.22957 0.774394 1.05751
0.0498323 1.19488 1.37566 0.954972
1.77648 1.04723 1.59624 0.974322
0.59686 1.03376 0.744043 1.0468
0.999914 0.2389 0.901501 0.953087
3.48111 0.400754 1.13947 1.00203
0.0949454 0.348646 1.00297 0.811366
3.61988 0.860745 0.769869 0.920104
0.507132 0.22691 1.14479 1.0528
1.21424 0.974556 0.580591 1.21016
0.678692 1.13465 0.653341 0.882678
0.815775 0.505696 0.835523 1.03626
1.17128 0.26376 0.939285 1.12291
1.56253 0.214639 0.794446 1.00653
0.290714 0.597374 0.602903 1.04208
0.0856486 1.73945 0.620486 0.985049
0.829281 1.48456 0.890024 0.883276
0.520773 0.674364 1.22667 0.951333
1.96789 0.656858 0.754066 1.1046
2.80237 0.198533 0.79592 1.05871
0.880953 0.781122 0.688926 0.921206
0.838051 0.223462 1.13748 1.02647
0.694052 1.00959 0.925925 1.16841
0.344883 1.07794 0.416734 1.14024
0.791088 0.900389 0.593707 0.913915
0.697771 0.179754 0.933232 0.961725
0.433975 1.43634 0.705868 0.92073
0.81004 3.52035 0.707789 1.11863
0.505304 0.343971 1.05579 0.885924
0.223056 1.80489 1.19112 1.04375
0.0114946 0.207309 1.32166 1.06594
2.61689 1.78561 1.15213 1.10766
0.19901 1.20436 0.865326 1.06056
0.609838 0.809237 1.08284 1.04097
1.70616 0.217464 0.392433 0.938258
1.20205 4.42753 1.31934 1.23866
1.30702 0.859907 0.807661 0.965633
0.449103 0.64726 0.835204 0.956559
0.332662 0.667139 0.651897 0.99542
2.31458 1.24552 0.938217 1.12911
0.419641 1.27122 1.01486 1.02517
3.99513 0.585049 1.39949 0.952744
1.27207 1.34824 0.595229 0.943833
0.178883 0.193327 1.21843 0.867755
4.14788 3.67003 0.980066 0.954917
